point,budget,memories,plan,pair,hops,width,max_link_km,wp_min,tau_e2e_ms,storage_ms_heralded,slowest_ms_heralded,t2_ms,repeaters
midrange,1000000,100,wait_coord_storage_heralded,Calgary-Edmonton,4,100,75.0,0.23713737056616555,3.0,8.791461342870878,3.1589722918458403,10.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3
midrange,1000000,100,wait_coord_storage_heralded,Kamloops-Kelowna,3,100,63.3,0.6072021956909884,1.9000000000000001,3.459801667553608,1.039865433693879,10.0,KAM-KEL:1;KAM-KEL:2
midrange,1000000,100,wait_coord_storage_heralded,Montreal-Ottawa,3,100,66.7,0.46415888336127825,2.0,4.149435659546826,1.4329538753586002,10.0,OTT-MON:2;OTT-MON:1
midrange,1000000,100,wait_paper_storage_source,Calgary-Edmonton,4,27,75.0,0.0640270900528647,3.0,24.449856825447696,11.699897377206817,10.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3
midrange,1000000,100,wait_paper_storage_source,Calgary-Kamloops,8,14,75.0,0.03319923187926317,6.0,64.50556935715896,22.564087798898857,10.0,KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1
midrange,1000000,100,wait_paper_storage_source,Calgary-Kelowna,8,27,76.2,0.05789136158694193,6.1000000000000005,40.21453891578864,13.157097004143854,10.0,KEL-CAL:7;KEL-CAL:6;KEL-CAL:5;KEL-CAL:4;KEL-CAL:3;KEL-CAL:2;KEL-CAL:1
midrange,1000000,100,wait_paper_storage_source,Calgary-Saskatoon,8,27,80.0,0.04279211619645008,6.4,54.83521917854551,18.680213697807204,10.0,CAL-SAS:1;CAL-SAS:2;CAL-SAS:3;CAL-SAS:4;CAL-SAS:5;CAL-SAS:6;CAL-SAS:7
midrange,1000000,100,wait_paper_storage_source,Edmonton-Saskatoon,7,52,75.7,0.11641349920555381,5.299999999999999,21.216766017750576,6.496626506931974,10.0,EDM-SAS:1;EDM-SAS:2;EDM-SAS:3;EDM-SAS:4;EDM-SAS:5;EDM-SAS:6
midrange,1000000,100,wait_paper_storage_source,Kamloops-Kelowna,3,27,63.3,0.16394459283656687,1.9000000000000001,7.677043213161509,3.851353458125477,10.0,KAM-KEL:1;KAM-KEL:2
midrange,1000000,100,wait_paper_storage_source,Kamloops-Vancouver,5,52,72.0,0.15703748946090484,3.6000000000000005,13.13744821013638,4.577965884542975,10.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
midrange,1000000,100,wait_paper_storage_source,Kelowna-Vancouver,5,27,78.0,0.050276352689897476,3.9,36.191321465037504,15.49980296371519,10.0,VAN-KEL:4;VAN-KEL:3;VAN-KEL:2;VAN-KEL:1
midrange,1000000,100,wait_paper_storage_source,Montreal-Ottawa,3,52,66.7,0.24136261934786468,2.0,6.133530114513128,2.7556805295357703,10.0,OTT-MON:2;OTT-MON:1
midrange,1000000,100,wait_paper_storage_source,Montreal-Toronto,7,27,77.1,0.05387208250415978,5.3999999999999995,40.44816313100735,14.305344776837842,10.0,TOR-MON:6;TOR-MON:5;TOR-MON:4;TOR-MON:3;TOR-MON:2;TOR-MON:1
midrange,1000000,100,wait_paper_storage_source,Ottawa-Toronto,6,27,75.0,0.0640270900528647,4.500000000000001,31.214818559424156,11.699897377206817,10.0,TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1
midrange,1000000,100,wait_coord_storage_source,Calgary-Edmonton,4,27,75.0,0.0640270900528647,3.0,24.449856825447696,11.699897377206817,10.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3
midrange,1000000,100,wait_coord_storage_source,Calgary-Kamloops,8,14,75.0,0.03319923187926317,6.0,64.50556935715896,22.564087798898857,10.0,KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1
midrange,1000000,100,wait_coord_storage_source,Calgary-Kelowna,8,27,76.2,0.05789136158694193,6.1000000000000005,40.21453891578864,13.157097004143854,10.0,KEL-CAL:7;KEL-CAL:6;KEL-CAL:5;KEL-CAL:4;KEL-CAL:3;KEL-CAL:2;KEL-CAL:1
midrange,1000000,100,wait_coord_storage_source,Calgary-Saskatoon,8,27,80.0,0.04279211619645008,6.4,54.83521917854551,18.680213697807204,10.0,CAL-SAS:1;CAL-SAS:2;CAL-SAS:3;CAL-SAS:4;CAL-SAS:5;CAL-SAS:6;CAL-SAS:7
midrange,1000000,100,wait_coord_storage_source,Edmonton-Saskatoon,7,52,75.7,0.11641349920555381,5.299999999999999,21.216766017750576,6.496626506931974,10.0,EDM-SAS:1;EDM-SAS:2;EDM-SAS:3;EDM-SAS:4;EDM-SAS:5;EDM-SAS:6
midrange,1000000,100,wait_coord_storage_source,Kamloops-Kelowna,3,27,63.3,0.16394459283656687,1.9000000000000001,7.677043213161509,3.851353458125477,10.0,KAM-KEL:1;KAM-KEL:2
midrange,1000000,100,wait_coord_storage_source,Kamloops-Vancouver,5,52,72.0,0.15703748946090484,3.6000000000000005,13.13744821013638,4.577965884542975,10.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
midrange,1000000,100,wait_coord_storage_source,Kelowna-Vancouver,5,27,78.0,0.050276352689897476,3.9,36.191321465037504,15.49980296371519,10.0,VAN-KEL:4;VAN-KEL:3;VAN-KEL:2;VAN-KEL:1
midrange,1000000,100,wait_coord_storage_source,Montreal-Ottawa,3,52,66.7,0.24136261934786468,2.0,6.133530114513128,2.7556805295357703,10.0,OTT-MON:2;OTT-MON:1
midrange,1000000,100,wait_coord_storage_source,Montreal-Toronto,7,27,77.1,0.05387208250415978,5.3999999999999995,40.44816313100735,14.305344776837842,10.0,TOR-MON:6;TOR-MON:5;TOR-MON:4;TOR-MON:3;TOR-MON:2;TOR-MON:1
midrange,1000000,100,wait_coord_storage_source,Ottawa-Toronto,6,27,75.0,0.0640270900528647,4.500000000000001,31.214818559424156,11.699897377206817,10.0,TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1
midrange,1000000,100,wait_paper_slowest_heralded,Calgary-Kamloops,8,52,75.0,0.12331143269440609,6.0,21.751499442312028,6.074946715088154,10.0,KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1
midrange,1000000,100,wait_paper_slowest_heralded,Edmonton-Saskatoon,7,100,75.7,0.22387211385683425,5.299999999999999,13.576718329230296,3.3782457836046254,10.0,EDM-SAS:1;EDM-SAS:2;EDM-SAS:3;EDM-SAS:4;EDM-SAS:5;EDM-SAS:6
midrange,1000000,100,wait_paper_slowest_heralded,Kamloops-Kelowna,3,14,63.3,0.08500830739673838,1.9000000000000001,13.041440482525768,7.427610240670564,10.0,KAM-KEL:1;KAM-KEL:2
