point,budget,memories,plan,pair,hops,width,max_link_km,repeaters,wp_min,utility_under_paper,utility_under_coordinated,utility_under_ext
midrange,1000000,100,coordinated,Edmonton-Kelowna,12,27,76.2,CAL-EDM:3;CAL-EDM:2;CAL-EDM:1;Calgary;KEL-CAL:7;KEL-CAL:6;KEL-CAL:5;KEL-CAL:4;KEL-CAL:3;KEL-CAL:2;KEL-CAL:1,0.05789136158694193,1.665185832960217,0.07707277243781241,-43.4666287986091
midrange,1000000,100,coordinated,Edmonton-Saskatoon,7,27,75.7,EDM-SAS:1;EDM-SAS:2;EDM-SAS:3;EDM-SAS:4;EDM-SAS:5;EDM-SAS:6,0.06044547074134525,5.214302922778379,3.8413481012673536,-19.367730623443688
midrange,1000000,100,coordinated,Kamloops-Kelowna,3,27,63.3,KAM-KEL:1;KAM-KEL:2,0.16394459283656687,9.277588385649226,8.407481921047328,3.722996037763886
midrange,1000000,100,coordinated,Kamloops-Vancouver,5,27,72.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1,0.08153869645085443,6.970208819981862,5.781220008640862,-7.776899741125049
midrange,1000000,100,coordinated,Kelowna-Vancouver,5,27,78.0,VAN-KEL:4;VAN-KEL:3;VAN-KEL:2;VAN-KEL:1,0.050276352689897476,6.272603920055517,5.082778183160729,-11.157321096918599
midrange,1000000,100,coordinated,Montreal-Ottawa,3,27,66.7,OTT-MON:2;OTT-MON:1,0.12532289850754513,8.890030107912368,8.018887175336305,2.6388487205231295
midrange,1000000,100,coordinated,Montreal-Toronto,7,27,77.1,TOR-MON:6;TOR-MON:5;TOR-MON:4;TOR-MON:3;TOR-MON:2;TOR-MON:1,0.05387208250415978,5.04820651803401,3.675075767693187,-20.498691852829698
midrange,1000000,100,coordinated,Ottawa-Toronto,6,52,75.0,TOR-OTT:5;TOR-OTT:4;TOR-OTT:3;TOR-OTT:2;TOR-OTT:1,0.12331143269440609,6.90842189886801,5.617323921968148,-8.708251577425306
midrange,1000000,100,ext,Calgary-Edmonton,4,14,75.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3,0.03319923187926317,6.326371571799657,5.269161655060451,-8.500539067087992
midrange,1000000,100,ext,Calgary-Kamloops,8,14,75.0,KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1,0.03319923187926317,3.676148761760281,2.235362907529687,-30.89037900359802
